County,GEOID,Atlas_Total_Disaster_Declarations,Atlas_Total_FEMA_PA_HM_Funding,Atlas_2024_Population,Atlas_Per_Capita_Funding,Atlas_CDC_SVI_2022,Disp_Total_Population,Disp_Equalization_Ratio,Disp_Total_Parcels,Disp_2024_Parcels_At_Risk,Disp_2024_Share_At_Risk,Disp_2024_Market_Value,Disp_2024_Property_Tax,Disp_2050_Parcels_At_Risk,Disp_2050_Share_At_Risk,Disp_2050_Market_Value,Disp_2050_Property_Tax,Disp_Crisis_Population,Disp_Crisis_Parcels,Disp_Crisis_Share,Disp_Crisis_Net_Value,Disp_Crisis_Market_Value,Disp_Crisis_Property_Tax,Disp_Emigrating_Population,Disp_Emigrating_Parcels,Disp_Emigrating_Share,Disp_Emigrating_Net_Value,Disp_Emigrating_Market_Value,Disp_Emigrating_Property_Tax,Disp_Destination_Population,Disp_Destination_Parcels,Disp_Destination_Share,Disp_Destination_Net_Value,Disp_Destination_Market_Value,Disp_Destination_Property_Tax,Disp_Stable_Population,Disp_Stable_Parcels,Disp_Stable_Share,Disp_Stable_Net_Value,Disp_Stable_Market_Value,Disp_Stable_Property_Tax,Disp_Pct_Change_2018_2023,Infra_Airports_Total,Infra_Airports_In_Floodplain_2025,Infra_Airports_Pct_2025,Infra_Airports_In_Floodplain_2050,Infra_Airports_Pct_2050,Infra_Hospitals_Total,Infra_Hospitals_In_Floodplain_2025,Infra_Hospitals_Pct_2025,Infra_Hospitals_In_Floodplain_2050,Infra_Hospitals_Pct_2050,Infra_Contaminated_Sites_Total,Infra_Contaminated_Sites_In_Floodplain_2025,Infra_Contaminated_Sites_Pct_2025,Infra_Contaminated_Sites_In_Floodplain_2050,Infra_Contaminated_Sites_Pct_2050,Infra_Libraries_Total,Infra_Libraries_In_Floodplain_2025,Infra_Libraries_Pct_2025,Infra_Libraries_In_Floodplain_2050,Infra_Libraries_Pct_2050,Infra_Parks_Total,Infra_Parks_In_Floodplain_2025,Infra_Parks_Pct_2025,Infra_Parks_In_Floodplain_2050,Infra_Parks_Pct_2050,Infra_Power_Plants_Total,Infra_Power_Plants_In_Floodplain_2025,Infra_Power_Plants_Pct_2025,Infra_Power_Plants_In_Floodplain_2050,Infra_Power_Plants_Pct_2050,Infra_Schools_Total,Infra_Schools_In_Floodplain_2025,Infra_Schools_Pct_2025,Infra_Schools_In_Floodplain_2050,Infra_Schools_Pct_2050,Infra_Hazardous_Waste_Total,Infra_Hazardous_Waste_In_Floodplain_2025,Infra_Hazardous_Waste_Pct_2025,Infra_Hazardous_Waste_In_Floodplain_2050,Infra_Hazardous_Waste_Pct_2050,Infra_Landfills_Total,Infra_Landfills_In_Floodplain_2025,Infra_Landfills_Pct_2025,Infra_Landfills_In_Floodplain_2050,Infra_Landfills_Pct_2050,Infra_Superfund_Sites_Total,Infra_Superfund_Sites_In_Floodplain_2025,Infra_Superfund_Sites_Pct_2025,Infra_Superfund_Sites_In_Floodplain_2050,Infra_Superfund_Sites_Pct_2050,Infra_Wastewater_Treatment_Total,Infra_Wastewater_Treatment_In_Floodplain_2025,Infra_Wastewater_Treatment_Pct_2025,Infra_Wastewater_Treatment_In_Floodplain_2050,Infra_Wastewater_Treatment_Pct_2050,NJ_Legislative,NJ_Congressional_Reps,Infra_Police_Stations_Total,Infra_Police_Stations_In_Floodplain_2025,Infra_Police_Stations_Pct_2025,Infra_Police_Stations_In_Floodplain_2050,Infra_Police_Stations_Pct_2050,Infra_Fire_Departments_Total,Infra_Fire_Departments_In_Floodplain_2025,Infra_Fire_Departments_Pct_2025,Infra_Fire_Departments_In_Floodplain_2050,Infra_Fire_Departments_Pct_2050,BlueAcres_Parcels,BlueAcres_Acres
Atlantic,34001,8,50974342,274339,186,0.85,244565.0,0.71,137316.0,41801.0,0.3,22838372642.84,269716298.5,53180.0,0.39,26473115029.55,333126294.8,67129.0,38205.0,0.28,11394485040.0,16048570478.87,209628199.73,14915.0,14973.0,0.11,7383541100.0,10399353662.0,123498095.0,122017.0,64249.0,0.47,12244695750.0,17246050352.0,328321437.0,38375.0,19679.0,0.14,4362876300.0,6144896197.0,131664362.4,106.47,5,1.0,20.0,1.0,20.0,18,5,27.8,8,44.4,284,128,45.1,150,52.8,17,6.0,35.3,7,41.2,99,74,74.7,77,77.8,17,6,35.3,6,35.3,99,17.0,17.2,25,25.3,11,0.0,0.0,0.0,0.0,34,1,2.9,4,11.8,6.0,0.0,0.0,0.0,0.0,3,2,66.7,2,66.7,"Testa, M. (1), Polistina, V. (2), Paul D. Moriarty (4), Michael Torrissi (8)","Van Drew, J. (2)",23,6,26.1,7,30.4,58,16,27.6,20,34.5,20,31.78
Bergen,34003,8,386547358,953243,406,0.44,907527.0,0.86,279807.0,15540.0,0.06,20789818719.34,301140961.5,35015.0,0.13,40298249769.78,657425132.0,45481.0,11302.0,0.04,14043168800.0,16329266046.51,254880696.32,67906.0,23713.0,0.08,20790638301.0,24175160815.0,402544435.7,230638.0,54204.0,0.19,31785901380.0,36960350442.0,720127459.5,563502.0,190568.0,0.68,128608284757.0,149544517159.0,2914831597.0,64.57,1,1.0,100.0,1.0,100.0,13,3,23.1,4,30.8,925,299,32.3,452,48.9,63,10.0,15.9,18,28.6,363,172,47.4,211,58.1,7,2,28.6,4,57.1,414,20.0,4.8,53,12.8,11,6.0,54.5,7.0,63.6,31,9,29.0,15,48.4,9.0,5.0,55.6,6.0,66.7,8,4,50.0,4,50.0,"Wimberly, B. (35), Sarlo, P. (36), Johnson, G. (37), Lagana, J. (38), Schepisi, H. (39), Corrado, K. (40)","Gottenheimer, J. (5)",74,12,16.2,22,29.7,135,16,11.9,35,25.9,54,10.77
Burlington,34005,8,21195327,461853,46,0.24,413563.0,0.79,172736.0,9285.0,0.05,2138279511.21,45296952.0,29077.0,0.17,8191099293.4,185419798.4,23258.0,12173.0,0.07,1926423435.0,2438510677.22,60818499.11,34638.0,16901.0,0.1,4541429577.0,5748645034.0,124585404.5,128926.0,51048.0,0.3,13146861830.0,16641597253.0,353119871.8,223599.0,92556.0,0.54,30057080746.0,38046937653.0,860825476.6,21.5,10,1.0,10.0,1.0,10.0,12,1,8.3,1,8.3,350,64,18.3,121,34.6,19,2.0,10.5,5,26.3,98,69,70.4,74,75.5,38,1,2.6,7,18.4,175,6.0,3.4,25,14.3,11,0.0,0.0,1.0,9.1,30,1,3.3,5,16.7,11.0,0.0,0.0,2.0,18.2,25,10,40.0,14,56.0,"Beach, J. (6), Singleton, T. (7), Tiver, L. (8)","Conaway, H. (3)",41,4,9.8,6,14.6,71,8,11.3,17,23.9,56,65.69
Camden,34007,5,10643598,522581,20,0.78,492894.0,0.81,189973.0,6435.0,0.03,1514854405.22,26146864.99,18126.0,0.1,4005021011.19,88415752.99,30014.0,13697.0,0.07,2217929746.0,2738184871.6,54843282.36,8972.0,3850.0,0.02,1006191434.0,1242211647.0,32839651.2,284812.0,106961.0,0.56,20731131730.0,25593989790.0,715596174.1,167265.0,63981.0,0.34,19537665612.0,24120574830.0,696927519.8,24.87,1,0.0,0.0,1.0,100.0,18,1,5.6,3,16.7,469,116,24.7,160,34.1,21,0.0,0.0,2,9.5,198,95,48.0,111,56.1,19,4,21.1,7,36.8,222,6.0,2.7,19,8.6,11,3.0,27.3,4.0,36.4,27,4,14.8,5,18.5,10.0,3.0,30.0,6.0,60.0,1,1,100.0,1,100.0,"Moriarty, P. (4), Cruz-Perez, N. (5), Beach, J. (6)","Norcross, D. (1)",45,4,8.9,8,17.8,68,3,4.4,9,13.2,0,0
Cape May,34009,8,54653243,95456,573,0.35,77166.0,0.63,94742.0,53134.0,0.56,55427787368.09,347803420.5,66862.0,0.71,68187405733.19,437101212.6,29173.0,46417.0,0.49,23046374400.0,36581546666.67,276696734.78,7770.0,20445.0,0.22,20245809500.0,32136205556.0,160404477.8,25269.0,17582.0,0.19,4724334100.0,7498943016.0,77556706.97,14948.0,10034.0,0.11,2379103800.0,3776355238.0,46210245.94,204.44,4,2.0,50.0,2.0,50.0,2,0,0.0,1,50.0,84,33,39.3,44,52.4,10,5.0,50.0,6,60.0,96,74,77.1,89,92.7,3,0,0.0,1,33.3,39,12.0,30.8,17,43.6,7,0.0,0.0,0.0,0.0,14,3,21.4,5,35.7,1.0,0.0,0.0,0.0,0.0,5,2,40.0,3,60.0,"Testa, M. (1)","Van Drew, J. (2)",14,8,57.1,10,71.4,34,17,50.0,20,58.8,0,0
Cumberland,34011,8,38255115,153588,249,0.98,142592.0,0.87,63398.0,4083.0,0.06,424705658.2,8412573.39,7680.0,0.12,1074467898.38,23652591.95,9066.0,7249.0,0.11,826133100.0,949578275.86,20514687.16,865.0,426.0,0.01,84229500.0,96815517.0,2501300.43,110979.0,48546.0,0.77,7368670300.0,8469735977.0,207756731.5,13480.0,6089.0,0.1,1575447500.0,1810859195.0,37009134.88,80.45,8,1.0,12.5,3.0,37.5,16,1,6.2,3,18.8,150,16,10.7,31,20.7,4,0.0,0.0,0,0.0,43,12,27.9,15,34.9,20,1,5.0,2,10.0,58,1.0,1.7,5,8.6,7,0.0,0.0,0.0,0.0,15,2,13.3,2,13.3,4.0,0.0,0.0,2.0,50.0,3,2,66.7,3,100.0,"Testa, M. (1), Burzichelli, J. (3)","Van Drew, J. (2)",18,0,0.0,1,5.6,29,5,17.2,10,34.5,131,55.08
Essex,34013,8,89468673,853374,105,0.94,809018.0,0.85,176880.0,6334.0,0.04,6574829397.87,110358442.2,25927.0,0.15,20619259504.13,426309885.0,69632.0,12912.0,0.07,6369494300.0,7493522705.88,185328906.23,35930.0,12782.0,0.07,9580452500.0,11271120588.0,224189727.5,442673.0,70972.0,0.4,31056173910.0,36536675188.0,829983887.5,251559.0,79577.0,0.45,54928263900.0,64621486941.0,1440596152.0,45.48,2,1.0,50.0,2.0,100.0,28,0,0.0,1,3.6,1039,213,20.5,478,46.0,30,3.0,10.0,10,33.3,141,25,17.7,43,30.5,21,5,23.8,8,38.1,337,14.0,4.2,50,14.8,7,2.0,28.6,5.0,71.4,11,1,9.1,2,18.2,8.0,5.0,62.5,8.0,100.0,5,0,0.0,2,40.0,"McKeon, J. (27), Burgess, R. (28), Ruiz, T. (29), Timberlake, B. (34), Corrado, K. (40)","Menendez, R. (8), Mclever. L (10), Sherril, M. (11)",40,6,15.0,14,35.0,64,5,7.8,18,28.1,25,5.04
Gloucester,34015,7,15892563,302621,53,0.22,271876.0,0.83,111886.0,3063.0,0.03,939177022.77,19778454.95,8857.0,0.08,2954693834.79,67232615.28,14578.0,6333.0,0.06,1653714530.0,1992427144.58,47458960.34,3983.0,2524.0,0.02,785680700.0,946603253.0,19773654.94,115873.0,47578.0,0.43,11211909495.0,13508324693.0,356177900.1,137417.0,55405.0,0.5,16293207550.0,19630370542.0,479129071.5,22.5,6,0.0,0.0,1.0,16.7,4,1,25.0,1,25.0,231,23,10.0,44,19.0,16,2.0,12.5,3,18.8,73,41,56.2,44,60.3,17,1,5.9,2,11.8,115,3.0,2.6,7,6.1,11,3.0,27.3,5.0,45.5,23,2,8.7,5,21.7,9.0,1.0,11.1,3.0,33.3,5,4,80.0,5,100.0,"Burzichelli, J. (3), Moriarty, P. (4), Cruz-Perez, N. (5)","Norcross, D. (1)",26,2,7.7,3,11.5,53,1,1.9,4,7.5,0,0
Hudson,34017,5,121553990,712029,171,0.78,695917.0,0.64,140272.0,31927.0,0.23,62615894868.48,684790848.5,44446.0,0.32,82404750736.19,914005314.3,35675.0,7219.0,0.05,7435231550.0,11617549296.88,161006459.75,148480.0,37044.0,0.26,43694805116.0,68273132994.0,743845590.8,414772.0,73330.0,0.52,33489995085.0,52328117320.0,802501289.0,94438.0,21744.0,0.16,14674938268.0,22929591044.0,289170048.3,128.46,0,0.0,0.0,0.0,0.0,24,7,29.2,8,33.3,902,437,48.4,572,63.4,27,7.0,25.9,9,33.3,214,110,51.4,136,63.6,21,16,76.2,19,90.5,197,46.0,23.4,54,27.4,16,9.0,56.2,11.0,68.8,18,8,44.4,10,55.6,4.0,3.0,75.0,4.0,100.0,5,4,80.0,4,80.0,"Ruiz, T. (29), McKnight, A. (31), Mukherji, R. (32), Stack, B. (33)","Menendez, R. (8)",23,3,13.0,5,21.7,52,13,25.0,16,30.8,0,0
Hunterdon,34019,6,27296680,129099,211,0.04,122995.0,0.88,51861.0,1836.0,0.04,550723202.08,11268791.36,4152.0,0.08,1590224929.85,34815893.43,523.0,165.0,0.0,44955602.0,51085911.36,1250535.48,7668.0,3987.0,0.08,1360485191.0,1546005899.0,33565357.95,7077.0,2314.0,0.04,800354242.0,909493457.0,23675576.39,107725.0,45393.0,0.88,18247388099.0,20735668294.0,453954108.2,90.51,14,0.0,0.0,0.0,0.0,2,0,0.0,0,0.0,126,17,13.5,32,25.4,13,1.0,7.7,4,30.8,42,27,64.3,28,66.7,16,1,6.2,2,12.5,65,0.0,0.0,2,3.1,6,1.0,16.7,1.0,16.7,5,2,40.0,2,40.0,3.0,2.0,66.7,2.0,66.7,15,7,46.7,8,53.3,"Turner, S. (15), Zwicker, A (16), Steinhardt, D. (23)","Kean, T. (7)",22,3,13.6,7,31.8,34,5,14.7,10,29.4,6,5.79
Mercer,34021,6,32332311,383732,84,0.74,349012.0,0.74,125567.0,3329.0,0.03,1809613128.71,32064130.59,9217.0,0.07,5357331668.92,92425588.61,14934.0,5325.0,0.04,1823920800.0,2464757837.84,38834924.73,11272.0,3819.0,0.03,2139000033.0,2890540585.0,53362249.89,143312.0,52467.0,0.42,12120688370.0,16379308608.0,342446732.0,176705.0,63125.0,0.5,34727318076.0,46928808211.0,881851806.8,41.52,3,0.0,0.0,0.0,0.0,11,0,0.0,0,0.0,336,47,14.0,87,25.9,16,1.0,6.2,2,12.5,147,64,43.5,78,53.1,26,0,0.0,2,7.7,159,3.0,1.9,12,7.5,9,3.0,33.3,3.0,33.3,9,1,11.1,1,11.1,0.0,0.0,0.0,0.0,0.0,9,6,66.7,6,66.7,"Greenstein, L. (14), Turner, S. (15), Zwicker, A. (16)","Conaway, H. (3)",25,1,4.0,3,12.0,33,2,6.1,5,15.2,0,0
Middlesex,34023,6,332881646,860147,387,0.66,777557.0,0.64,245357.0,8154.0,0.03,5001123366.69,109865584.0,23266.0,0.09,14651423280.69,317814089.0,32194.0,8637.0,0.04,3671866555.0,5737291492.19,114201123.92,39185.0,14539.0,0.06,5103013350.0,7973458359.0,185032873.9,246238.0,66034.0,0.27,25107299400.0,39230155313.0,723722512.9,455218.0,155906.0,0.64,46776006575.0,73087510273.0,1957826132.0,101.41,1,0.0,0.0,0.0,0.0,15,0,0.0,0,0.0,738,114,15.4,206,27.9,31,4.0,12.9,7,22.6,212,109,51.4,125,59.0,63,7,11.1,13,20.6,304,8.0,2.6,28,9.2,26,3.0,11.5,5.0,19.2,49,10,20.4,14,28.6,14.0,4.0,28.6,5.0,35.7,2,0,0.0,0,0.0,"Owen, H.(12), Greenstein, L. (14), Zwicker, A. (16), Smith, B. (17), Diegnan, P. (18), Vitale, J. (19)","Pallone, F. (6), Watson Coleman, B. (12)",35,3,8.6,8,22.9,88,9,10.2,13,14.8,579,74.57
Monmouth,34025,6,327555966,643064,509,0.21,589123.0,1.0,228537.0,21265.0,0.09,14530094795.72,189047971.7,42294.0,0.19,32961397263.01,415225814.8,37803.0,13536.0,0.06,8529595700.0,8529595700.0,124240011.4,61447.0,28758.0,0.13,24468059100.0,24468059100.0,290985803.4,112294.0,37138.0,0.16,22770574857.0,22770574857.0,355163844.3,377557.0,148981.0,0.65,105907378486.0,105907378486.0,1653675284.0,145.15,5,0.0,0.0,1.0,20.0,15,2,13.3,8,53.3,534,78,14.6,168,31.5,38,5.0,13.2,12,31.6,246,138,56.1,170,69.1,26,3,11.5,5,19.2,289,14.0,4.8,46,15.9,19,1.0,5.3,1.0,5.3,29,6,20.7,10,34.5,9.0,1.0,11.1,2.0,22.2,15,5,33.3,8,53.3,"Holzapfel, J. (10),  Gopal, V. (11), Henry, O. (12), O'Scanlon, D. (13), Singer, R. (30)","Conaway, H. (3), Smith, C. (4), Pallone, F. (6)",55,7,12.7,15,27.3,123,22,17.9,38,30.9,19,14.76
Morris,34027,9,83623155,508816,164,0.17,493776.0,0.86,175980.0,7404.0,0.04,4327010381.43,65270580.78,19343.0,0.11,12490070103.81,217045289.0,12721.0,3584.0,0.02,1512597600.0,1758834418.6,40938743.21,39385.0,15759.0,0.09,9195139500.0,10692022674.0,176106545.8,81202.0,24965.0,0.14,10007762800.0,11636933488.0,268848973.9,358821.0,131158.0,0.75,78252076556.0,90990786693.0,1731597614.0,52.97,2,2.0,100.0,2.0,100.0,12,0,0.0,2,16.7,389,72,18.5,126,32.4,36,4.0,11.1,6,16.7,163,64,39.3,74,45.4,14,0,0.0,1,7.1,220,2.0,0.9,18,8.2,14,1.0,7.1,3.0,21.4,21,3,14.3,4,19.0,9.0,4.0,44.4,5.0,55.6,23,9,39.1,13,56.5,"Bramnick, J. (21), Space, P. (24), Bucco, A. (25), Pennacchio, J. (26)","Kean, T. (7), Sherrill, M. (11)",41,4,9.8,6,14.6,91,12,13.2,25,27.5,119,27.96
Ocean,34029,6,278969403,638691,437,0.41,556199.0,0.7,295392.0,76274.0,0.26,66054490123.63,667873261.4,101190.0,0.34,78938946141.82,832577858.0,44800.0,39704.0,0.13,14639965200.0,20914236000.0,284414723.79,57530.0,60020.0,0.2,39719615200.0,56742307429.0,539693664.1,319855.0,133642.0,0.45,40333765198.0,57619664569.0,834462367.9,132602.0,60381.0,0.2,21131937500.0,30188482143.0,431233480.4,99.76,4,0.0,0.0,1.0,25.0,17,2,11.8,3,17.6,176,43,24.4,60,34.1,22,5.0,22.7,8,36.4,180,142,78.9,151,83.9,18,2,11.1,3,16.7,296,10.0,3.4,30,10.1,10,0.0,0.0,0.0,0.0,29,0,0.0,1,3.4,4.0,0.0,0.0,1.0,25.0,4,1,25.0,2,50.0,"Amato, C. (9), Holzapfel, J. (10), Henry, O. (12), Singer, R. (30)","Van Drew, J. (2), Smith, C. (4)",34,13,38.2,17,50.0,81,20,24.7,28,34.6,0,0
Passaic,34031,7,68625167,519986,132,0.91,505018.0,0.67,125803.0,6528.0,0.05,3461165832.22,79697897.23,18739.0,0.15,10125586790.34,243847834.7,28108.0,5680.0,0.05,2260998995.0,3374625365.67,77345535.17,30991.0,13059.0,0.1,4534282300.0,6767585522.0,166502299.5,272178.0,44739.0,0.36,13948167119.0,20818159879.0,536174852.3,173717.0,62275.0,0.5,21039291402.0,31401927466.0,816819604.7,71.31,2,0.0,0.0,0.0,0.0,8,2,25.0,2,25.0,436,79,18.1,159,36.5,21,3.0,14.3,7,33.3,116,53,45.7,74,63.8,6,3,50.0,3,50.0,211,10.0,4.7,44,20.9,13,3.0,23.1,6.0,46.2,9,1,11.1,3,33.3,1.0,0.0,0.0,0.0,0.0,10,5,50.0,8,80.0,"Bucco, A. (25), Pennacchio, J. (26), McKeon, J. (27), Wimberly, B. (35), Sarlo, P. (36), Corrado, K. (40)","Gottheimer, J. (5)",20,2,10.0,5,25.0,56,7,12.5,16,28.6,191,34.2
Salem,34033,6,5624464,64840,87,0.67,61220.0,0.78,31054.0,6364.0,0.2,1197743777.21,36120594.77,11528.0,0.37,2477984771.41,69144600.13,19884.0,9999.0,0.32,1686045975.0,2161597403.85,61857991.31,1317.0,911.0,0.03,158632300.0,203374744.0,4785186.66,24172.0,11989.0,0.39,2050837990.0,2629279474.0,66802303.03,13220.0,7206.0,0.23,1288471400.0,1651886410.0,39964144.92,9.17,7,0.0,0.0,3.0,42.9,3,1,33.3,1,33.3,94,26,27.7,46,48.9,4,0.0,0.0,1,25.0,13,11,84.6,12,92.3,4,0,0.0,2,50.0,35,2.0,5.7,10,28.6,5,1.0,20.0,1.0,20.0,15,1,6.7,2,13.3,1.0,0.0,0.0,1.0,100.0,7,7,100.0,7,100.0,"Burzichelli, J. (3)","Van Drew, J. (2), Smith, C. (4)",9,2,22.2,3,33.3,24,7,29.2,10,41.7,0,0
Somerset,34035,7,75802442,344978,220,0.19,323669.0,0.94,117752.0,3406.0,0.03,1691451569.79,29270732.43,9865.0,0.08,5412694808.02,101438816.1,9911.0,3331.0,0.03,1221336800.0,1299294468.09,30177159.6,16659.0,6534.0,0.06,3881751865.0,4129523261.0,71261656.52,45140.0,15450.0,0.13,5834291484.0,6206693068.0,140654013.9,251959.0,92437.0,0.79,61083050642.0,64981968768.0,1219523329.0,93.51,3,0.0,0.0,0.0,0.0,4,0,0.0,0,0.0,234,40,17.1,59,25.2,19,1.0,5.3,2,10.5,149,89,59.7,94,63.1,23,1,4.3,1,4.3,147,6.0,4.1,16,10.9,8,0.0,0.0,1.0,12.5,17,5,29.4,7,41.2,6.0,1.0,16.7,2.0,33.3,13,7,53.8,10,76.9,"Bramnick, J. (21), Scutari, N. (22), Steinhardt, D. (23)","Kean, T. (7), Watson Coleman, B. (12)",23,3,13.0,7,30.4,53,9,17.0,15,28.3,398,36.66
Sussex,34037,7,13164892,144808,91,0.05,140686.0,0.81,74022.0,1204.0,0.02,261496189.77,4396790.94,4603.0,0.06,1372361356.93,31425419.12,1471.0,564.0,0.01,184579200.0,227875555.56,4813255.9,6798.0,4039.0,0.05,931974000.0,1150585185.0,26612163.22,34889.0,15762.0,0.21,3945016100.0,4870390247.0,114174264.0,97478.0,53581.0,0.72,13187085600.0,16280352593.0,392745181.6,39.3,2,0.0,0.0,2.0,100.0,2,0,0.0,0,0.0,105,14,13.3,24,22.9,7,2.0,28.6,2,28.6,79,39,49.4,47,59.5,10,0,0.0,1,10.0,58,0.0,0.0,5,8.6,6,0.0,0.0,0.0,0.0,10,0,0.0,1,10.0,3.0,0.0,0.0,0.0,0.0,10,2,20.0,3,30.0,"Space, P. (24)","Gottheimer, J.(5)",14,1,7.1,3,21.4,42,3,7.1,8,19.0,0,0
Union,34039,6,91288452,572079,160,0.81,569454.0,0.55,147992.0,7770.0,0.05,5196910801.52,122615400.0,27645.0,0.19,15098093833.91,428809612.1,62266.0,13781.0,0.09,2659871450.0,4836129909.09,171697683.75,43622.0,13662.0,0.09,5167831512.0,9396057295.0,230950162.1,247952.0,49428.0,0.33,6833584299.0,12424698725.0,584840415.2,215330.0,70884.0,0.48,29120229740.0,52945872255.0,1084518127.0,45.68,2,0.0,0.0,1.0,50.0,16,1,6.2,3,18.8,614,117,19.1,246,40.1,24,1.0,4.2,7,29.2,169,62,36.7,97,57.4,19,9,47.4,10,52.6,251,15.0,6.0,52,20.7,18,6.0,33.3,8.0,44.4,15,8,53.3,12,80.0,2.0,2.0,100.0,2.0,100.0,5,4,80.0,4,80.0,"Cryan, J. (20), Bramnick, J. (21), Scutari, N. (22), Burgess, R. (28)","McIver, L. (10)",26,2,7.7,10,38.5,42,5,11.9,16,38.1,53,8.84
Warren,34041,8,17216149,109739,157,0.25,105574.0,0.79,46295.0,1848.0,0.04,322288042.65,7604273.47,4321.0,0.09,1180540717.19,27573324.39,4530.0,2100.0,0.05,471364313.0,596663687.34,13912321.7,4298.0,2221.0,0.05,458665664.0,580589448.0,13661002.69,54607.0,21891.0,0.47,5015944947.0,6349297401.0,149225396.5,42139.0,20072.0,0.43,4753434270.0,6017005405.0,149610532.2,73.65,8,1.0,12.5,2.0,25.0,4,0,0.0,0,0.0,101,12,11.9,26,25.7,9,1.0,11.1,1,11.1,51,31,60.8,32,62.7,13,0,0.0,0,0.0,45,1.0,2.2,6,13.3,4,0.0,0.0,0.0,0.0,11,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,7,3,42.9,4,57.1,"Steinhardt, D. (23), Space, P. (24)","Kean, T. (7)",16,1,6.2,3,18.8,30,3,10.0,8,26.7,26,16.95
